engine,entry_time,exit_time,side,entry_price,exit_price,hold_bars,gross_return,exit_reason,entry_confidence,entry_base_confirms,entry_box_width_pct,entry_warmup,take_profit_target,early_favorable_excursion,early_adverse_excursion,net_return,weighted_return
boundary,2023-10-03 08:00:00+00:00,2023-10-03 12:00:00+00:00,1,27594.8,27472.7,4,-0.004424746691405579,early_failure,0.6288457231062726,0.0,0.03080098726330092,False,,0.0015655123429052509,0.0062620493716206704,-0.006024746691405579,-0.0
boundary,2023-10-03 14:00:00+00:00,2023-10-04 06:00:00+00:00,-1,27350.1,27416.5,16,-0.0024277790574807057,time_stop_early,0.6305343484279973,0.0,0.02822853786031278,False,,0.007283337172441673,0.005846413724264421,-0.0040277790574807055,-0.0
boundary,2023-10-04 12:00:00+00:00,2023-10-05 00:00:00+00:00,-1,27566.7,27867.5665,12,-0.010914128277958568,price_stop,0.6301084620692023,0.0,0.02050671643686034,False,,0.008717039036228447,0.012090674618289388,-0.012514128277958569,-0.0
boundary,2023-10-05 21:00:00+00:00,2023-10-06 07:00:00+00:00,-1,27446.8,27631.809,10,-0.006740640074617055,price_stop,0.7442654535756658,0.0,0.012046152314052422,False,,0.0023572875526473025,0.00762201786729233,-0.008340640074617055,-0.0
boundary,2023-10-06 11:00:00+00:00,2023-10-06 12:00:00+00:00,1,27758.0,27564.666999999998,1,-0.006964947042294223,price_stop,0.7447610457106428,0.0,0.009860520690731758,False,,0.00030621802723529434,0.02006268463145766,-0.008564947042294224,-0.0
boundary,2023-10-06 18:00:00+00:00,2023-10-06 21:00:00+00:00,-1,27903.9,28184.140714285717,3,-0.010043066176617543,price_stop,0.7365309194542714,0.0,0.014230866175218094,False,,0.0010679510749393994,0.015377778733438596,-0.011643066176617544,-0.0
boundary,2023-10-07 18:00:00+00:00,2023-10-08 02:00:00+00:00,-1,27891.1,28014.8,8,-0.004435106539361966,early_failure,0.6289835453580057,0.0,0.015552302825393612,False,,0.0017675889441434167,0.00737511249108147,-0.006035106539361966,-0.0
boundary,2023-10-08 13:00:00+00:00,2023-10-09 05:00:00+00:00,1,27912.5,27863.5,16,-0.001755485893416897,time_stop_early,0.6300061592306448,2.0,0.012439050604568038,False,,0.002955665024630516,0.0043206448723689395,-0.003355485893416897,-0.0
boundary,2023-10-09 05:00:00+00:00,2023-10-10 11:00:00+00:00,-1,27863.5,27509.3,30,0.012711970857932409,time_stop_max,0.7249842321957669,0.0,0.004905701006693167,False,,0.021659159832756125,0.0018518850826350075,0.011111970857932408,0.0
boundary,2023-10-10 20:00:00+00:00,2023-10-11 02:00:00+00:00,1,27403.0,27156.241,6,-0.009004816990840325,price_stop,0.6180145694150807,0.0,0.014729211521852735,False,,0.0029485822720138888,0.01452030799547499,-0.010604816990840326,-0.0
boundary,2023-10-11 02:00:00+00:00,2023-10-12 08:00:00+00:00,-1,27121.9,26802.0,30,0.011794896375253994,time_stop_max,0.6198684014842225,0.0,0.015163576298120684,False,,0.021783134662394676,0.007997227332893209,0.010194896375253993,0.0
boundary,2023-10-12 14:00:00+00:00,2023-10-13 06:00:00+00:00,-1,26700.9,26806.7,16,-0.003962413251987762,time_stop_early,0.6152145987797478,0.0,0.02134453645133039,False,,0.005820028538363942,0.0067076390683460385,-0.005562413251987762,-0.0
boundary,2023-10-13 14:00:00+00:00,2023-10-13 20:00:00+00:00,-1,26757.1,26928.065499999997,6,-0.00638953773017259,price_stop,0.62428644363373,0.0,0.011911449048414508,False,,0.002844104929158986,0.012508829432188229,-0.00798953773017259,-0.0
boundary,2023-10-13 20:00:00+00:00,2023-10-13 22:00:00+00:00,1,26985.0,26819.740714285716,2,-0.006124116572699068,price_stop,0.830558633052622,2.0,0.010559292199369923,False,,0.005373355567908078,0.008504724847137268,-0.0077241165726990675,-0.0
boundary,2023-10-14 21:00:00+00:00,2023-10-15 01:00:00+00:00,-1,26820.5,26912.330500000004,4,-0.00342389217203265,price_stop,0.7435162560743209,0.0,0.006063583204389838,False,,0.0003281072314087474,0.003448854421058467,-0.00502389217203265,-0.0
boundary,2023-10-15 06:00:00+00:00,2023-10-15 13:00:00+00:00,1,26882.9,26808.198749999996,7,-0.0027787645678110096,price_stop,0.6319104483074035,0.0,0.005135265664542822,False,,0.0033069348916969776,0.0027861577433982987,-0.004378764567811009,-0.0
boundary,2023-10-15 18:00:00+00:00,2023-10-17 00:00:00+00:00,1,27052.9,28281.9,30,0.04542951032976128,time_stop_max,0.6249631418953416,0.0,0.004396863798951975,False,,0.13407435062414752,0.002694720344214585,0.04382951032976128,0.0
boundary,2023-10-17 04:00:00+00:00,2023-10-17 07:00:00+00:00,-1,28192.1,28426.1,3,-0.008300197573078982,early_failure,0.6226953452103156,0.0,0.03545199719070228,False,,0.0024333057842444994,0.01002053766835398,-0.009900197573078983,-0.0
boundary,2023-10-17 11:00:00+00:00,2023-10-18 03:00:00+00:00,-1,28424.2,28514.5,16,-0.00317687041323933,time_stop_early,0.6250745967377792,0.0,0.033926138056069734,False,,0.010526241723601726,0.006842760746124776,-0.00477687041323933,-0.0
boundary,2023-10-18 07:00:00+00:00,2023-10-19 13:00:00+00:00,-1,28495.5,28477.3,30,0.0006386973381762306,time_stop_max,0.6254037775787694,2.0,0.03569987658870108,False,,0.014146093242792701,0.003660227053394305,-0.0009613026618237694,-0.0
boundary,2023-10-19 17:00:00+00:00,2023-10-19 19:00:00+00:00,-1,28549.5,28757.285,2,-0.007278060911749762,price_stop,0.7365106608384371,2.0,0.012002019883593926,False,,0.0010928387537435524,0.008038669678978705,-0.008878060911749763,-0.0
boundary,2023-10-20 02:00:00+00:00,2023-10-21 08:00:00+00:00,1,28982.7,29664.2,30,0.02351402733354724,time_stop_max,0.7374824168068308,0.0,0.013868790692378617,False,,0.04475428445244911,0.002432485586228994,0.021914027333547238,0.0
boundary,2023-11-02 12:00:00+00:00,2023-11-03 18:00:00+00:00,-1,35349.9,34525.5,30,0.02332114093674953,time_stop_max,0.7275150447781371,0.0,0.026581593347270272,False,,0.034707311760429294,0.0005516281517061739,0.02172114093674953,0.0
boundary,2023-11-03 20:00:00+00:00,2023-11-05 02:00:00+00:00,1,34590.8,35055.0,30,0.013419753229182207,time_stop_max,0.6334563104260554,0.0,0.024191475768123045,False,,0.0197277888918439,0.0008846282826648899,0.011819753229182207,0.0
